語詞,解釋
菊石,動物名。軟體動物門頭足綱菊石目。為一種古代軟體動物，具有漩渦狀的外殼。出現於泥盆紀，在中生代最為繁盛，現僅存化石。
防塵,防止灰塵。[例]紗窗不但可以防蚊，更兼具有防塵的功效。
槌子,敲擊器物的工具。[例]我想釘個釘子來掛畫，卻到處找不到槌子。
多餘,1.剩下來的。[例]同學們決議將此次活動多餘的經費，全部歸為班費。
撥開,將物推開或分開。[例]他用竹竿將草叢撥開，探路前進。
輪廓,1.構成圖形、物體的外緣或主要線條。[例]在朦朧的燈光下，她臉蛋的輪廓顯得分外柔美。
拼湊,將零星的事物聚合起來。[例]好不容易！總算把這些撕碎的紙片拼湊回去了。
骨架,1.支撐物體的架構。[例]這棟大樓是用鋼筋骨架建造的，堅固耐震。
輕盈,1.形容體態纖秀，動作輕快。[例]她隨著音樂輕盈起舞。
沉浸,本指浸泡在水中。後比喻處在某種境界中。[例]新婚半年的她，至今仍沉浸在幸福喜悅中。
稀奇古怪,少見而怪異。[例]這件案子越是深入了解，越覺得稀奇古怪。
儲藏,收存、貯藏。[例]仙人掌耐旱，是因為它的氣孔少，儲藏的水分不易蒸發。
寵物,因喜愛而於家中飼養的動物。如狗、貓、鳥、兔子等。[例]公寓大廈裡通常禁止住戶飼養寵物。
寂靜,安靜無聲。[例]寂靜的夜裡，家人都安然入夢，感覺無比的恬然祥和。
螢幕,包含電子槍、偏向裝備和螢光幕的真空管，為電視、示波器、電腦的顯示部分。[例]看電視不要太靠近螢幕，以保視力健康。　△螢光幕
彷彿,似乎、好像、近似。[例]這個人我彷彿曾經見過。
熟悉,知道得很詳細。[例]她對公司的業務很熟悉，有問題請教她準沒錯。
賦予,給與。[例]賦予生命、賦予新意
閱讀,閱覽誦讀。[例]他有每日晨間閱讀書報的習慣。
激發,刺激使引發反應。[例]老師在課堂上運用各種方式以激發學生的學習興趣。
湧現,如泉水般出現。[例]這一片美好的景象令他靈感湧現，創作出動人的音樂。
先睹為快,以優先看到而引以為樂。[例]新的影片即將上演，我要先睹為快。
節奏,1.音樂中交替出現有規律的強弱、長短的現象。[例]節奏的快慢強弱，是音樂帶給人不同感受的要素。
嗓音,喉嚨所發出的聲音。[例]他的嗓音低沉而有磁性。
沙啞,聲音低沉嘶啞。[例]他的聲音因感冒而變得沙啞。
急促,迅速倉促。[例]剛跑完百米競賽，她的呼吸顯得很急促。
氣喘吁吁,大聲喘氣、呼吸急促的樣子。[例]走了二個多鐘頭的上坡路，大家都氣喘吁吁的。
埋伏,暗中躲藏，伺機突擊敵人。[例]我軍埋伏了大批兵力，準備一舉殲滅入侵的敵寇。
唉唷,嘆詞。表示驚訝或痛苦。[例]唉唷，我的頭好痛。
必須,一定要、必定要。[例]想要有好的表現，就必須努力用功，認真學習。
忽喜忽憂,時而歡喜，時而憂傷。如：「投資人的心情隨著股價漲跌，忽喜忽憂，變化莫測。」
詮釋,詳細深入的解釋、闡明。[例]這本書將莊子無為而治的思想，做了最佳詮釋。
魅力,吸引人的力量。[例]他很有魅力，使人不自覺地想親近他。
學問淵博,淵，淵深。博，廣博。學問淵博謂學識豐富。如：「他溫文儒雅，學問淵博，是學術界所公認的大學者。」
不凡,出色、與眾不同。[例]他的能力不錯，剛起步就表現不凡。
擅長,專長，專精於某種技藝或學術。[例]在運動方面，他擅長游泳。
廬山,位於江西省九江市南方的山脈。主峰漢陽峰，海拔1474公尺。鄱陽湖、長江之濱，三面臨水，西連陸地。萬壑千巖，飛瀑流泉，林木蔥蘢，煙雲瀰漫。中有白鹿洞、墨池、玉淵、秀峰、三疊泉等名勝，西北有牯嶺，為著名避暑勝地，亦為歷史文化名山。相傳周武王時，有匡俗兄弟七人結廬此山，後登仙而去，徒留空廬而得名；一說以廬江得名，故稱。廬山以雄、奇、險、秀聞名於世，素有「匡廬奇秀甲天下」之譽。聯合國教科文組織列為世界地質公園、世界文化遺產。 [例]『不識廬山真面目，只緣身在此山中』為蘇東坡傳誦千古的名句，寫盡廬山的雄奇險秀。　△廬阜、匡盧、匡山
煙霧,1.自然界的水氣凝聚而成的雲霧。[例]這座湖終年煙霧繚繞，具有一股神祕感。
瀰漫,遍布、滿布。[例]戰雲瀰漫、煙霧瀰漫
綿延,連續延長。[例]中央山脈高峰綿延，位於臺灣中央偏東，颱風時期往往降低了西部的災害。
隱含,暗藏、不直接呈現。[例]在他成功的背後，其實隱含了許多努力奮鬥的艱辛。
哲理,有關宇宙人生的根本道理。[例]他這一番話很富哲理，使我獲益良多。
所謂,1.所說的。[例]他因為貪心而人財兩失，真是所謂賠了夫人又折兵。
珊瑚,腔腸動物珊瑚蟲綱的泛稱。生活在暖海中。許多珊瑚蟲集結營生，分泌具有石灰質的黏液，硬化後所形成的骨架亦稱為「珊瑚」。形狀分歧如樹枝。色彩鮮豔美觀，有白色、紅色、桃紅色、黑色等。其骨骼質地略硬，可製成項鍊、胸針等飾品。[例]水族箱內各種顏色的珊瑚幾乎搶盡了魚的風采。
面積,地面、物體表面或平面圖形的大小。[例]這間房子面積雖然不大，適當的隔間及擺設，還顯得優雅合用。
公噸,量詞。表示質量的單位。公制一公噸等於一千公斤。也稱為「噸」。
垃圾,1.各種廢棄物的統稱。[例]隨意傾倒垃圾是沒有公德心且不合法的行為。
循環,事物周而復始的運轉或變化。[例]血液循環、循環小數
細菌,一種單細胞的微生物。可分為桿菌、球菌和螺旋菌三類，以分裂法繁殖，多靠寄生或腐生方法生存，普遍分布在自然界中。有些細菌會引起嚴重的疾病，如霍亂、破傷風等，有些則對人類有益處，如乳酸菌。[例]傷口若處理不當，將會引起細菌感染。
食物鏈,1.不同種類的生物間，由於食性關係而形成食物鏈。如青蛙吃蜻蜓，蛇吃青蛙，老鷹捕食蛇。
無孔不入,無所不到，比喻利用一切的機會。[例]病菌是無孔不入的，平日須多注意飲食、環境衛生。
無一倖免,沒有人能僥倖避免。如：「這次空難事件，機上乘客無一倖免。」
鯨魚,→鯨
根據,憑靠、依據。[例]警方根據線民通報，將潛逃多日的人犯逮捕歸案。
便宜,方便合宜。[例]便宜行事 / 1.物價低廉。[例]這件衣服的價錢真便宜。
估計,大約計算、推測。[例]這場演唱會盛況空前，估計有三萬人參加。
廢棄物,易汙染環境的固體、液體。如垃圾、糞尿、動物屍體等，或事業生產過程產生的廢汙。
實踐,實行、履行。[例]無論待人處事都必須實踐忠信之德，才能在社會上立足。
貝殼,貝類的硬殼。可分真珠層、外殼層及稜柱層三層。一般可供玩賞或製成裝飾品。[例]到海邊撿貝殼是我們最喜歡的課餘活動。
海涵,說人度量大或請人寬諒的話。南朝梁．王僧孺〈為臨川王讓太尉表〉：「陛下海涵春育，日鏡雲伸。」清．孔尚任《桃花扇》第二四齣：「望乞海涵，另日竭誠罷！」
鯊魚,→鯊
海豚,動物名。哺乳綱鯨目海豚科。長約二公尺，頭小，口尖，背部青黑色，腹部白色，前肢呈鰭狀，可用來保持平衡。以魚、蝦、烏賊等為主食。有很好的記憶力，能學習複雜的動作，是相當聰明的動物。[例]海洋公園的海豚很有靈性，深受遊客喜愛。　△海豬　◎◎
抹香鯨,動物名。抹香鯨科，為齒鯨中最大的一種。重約六十到八十噸，頭大而方，大約占全身長的三分之一，上顎無齒，下顎列生圓錐形的牙齒，噴氣孔在頭的前端，體色由灰藍色至黑色，腹部顏色較淺。通常棲息在溫帶和熱帶的水域，常成群的生活在一起，以大烏賊、大章魚之類為食。所產鯨腦油，可用來作蠟燭、軟膏及化妝品，其腸內分泌物龍涎香則是名貴的香料。
潮汐,海水受日、月引力作用而發生的週期性漲落現象。白天發生的稱「潮」，夜晚發生的稱「汐」，平均每隔十二小時二十五分漲落一次。[例]潮汐具有規則性，但有時也會受風、浪、氣壓等影響而產生變化。
鼓譟,眾人一起發出呼喊喧鬧的聲音。[例]在友人的鼓譟下，他上臺獻唱一曲。
牧場,牧養牛、羊的場所。[例]大約有一萬頭牛被畜養在這個牧場裡。
氧氣筒,耐高壓，內貯液態氧的鋼筒。筒內壓力約為大氣壓力的一百倍。為呼吸困難、休克、手術、全身麻醉時必備的醫療器材。常用於工業和醫院。
琉璃,1.一種天然有光澤的青色寶石。　△流離
凸顯,凸出顯現。[例]他喜歡穿著奇裝異服來凸顯自己的與眾不同。
襯托,烘托，使主體明顯。[例]這湖水在山林的襯托之下，更添靈秀之氣。
見證,當場目睹而可以作證的人或可以作為證據的物品。[例]事發時他正好路過該處，可為這場車禍見證。
玻璃,用白砂、石灰石、碳酸鈉、碳酸鉀等混合起來，加高熱燒融，冷卻後製成的堅硬物質。有透明與半透明兩種，可以製成鏡子、窗戶等各種用具。[例]雖然他擊出了一支全壘打，但也打破了教室窗戶的玻璃。
奇蹟,異於尋常、令人無法理解的現象或事情。[例]他被活埋了四小時竟然沒死，真是個奇蹟。
空空蕩蕩,形容冷冷清清，空無所有的情景或指心裡沒著落的感覺。如：「平時車水馬龍的街道，深夜裡顯得空空蕩蕩。」「心裡空空蕩蕩的，茶飯無味，夜不成寐。」
吶喊,高聲叫喊。[例]那支遊行隊伍高聲吶喊著他們的行進口號。
洪水,氾濫成災的大水。[例]颱風來襲前應先疏通溝渠，以防洪水成災。
誕生,1.出生。[例]每一個新生命的誕生，都是人類的另一個希望。
沼澤,水草茂密且樹木、灌木叢生的潮溼泥濘地。主要由於湖泊裡面的物質長期沉積，湖水越來越淺，湖底長滿苔蘚等植物而形成。[例]前面是一大片沼澤，既潮溼又泥濘，經過時要特別小心。
美洲豹,動物名。哺乳綱貓科。體長約一百七十公分，毛為黃褐色底帶有黑色斑點，活躍於森林，會爬樹、游泳，性凶暴，多分布於中美、南美等地。
栩栩如生,形貌生動逼真，像真的一樣。語本《莊子．齊物論》。[例]這幅畫上的花鳥畫得栩栩如生，像是可以聞到花香、聽到鳥叫一般。
蘆葦,植物名。禾本科蘆屬，多年生草本。花穗呈紫色，下有白毛，可隨風飛散，將種子傳到遠方。多生長於溪流兩岸或沼澤、溼地等水分充足的地方。莖細緻光澤，可編織蘆簾、蘆蓆等。[例]他用蘆葦的莖稈編成一隻蚱蜢。
難堪,1.難以忍受。[例]你說這麼多讓他難堪的話，難怪他會拂袖而去。
波濤洶湧,1.形容波浪很大。[例]因颱風過境，海面上白浪掀天，波濤洶湧。
鸚鵡,動物名。鳥綱鸚鵡目。體長約三十公分，嘴大而短，上嘴鉤曲覆下嘴，舌肥厚，善模仿人語。羽毛顏色鮮豔。棲於熱帶森林或巖洞樹穴中。[例]鸚鵡會模仿各種聲音，包括人類的語言，但卻不了解話中的意義。　△能言鳥　◎
土狼,→鬣狗
優雅,優美高雅。[例]她的舉止優雅大方，氣質脫俗。
挑剔,吹毛求疵，苛求責備。[例]這件事我已盡了全力，請別再挑剔了。
貪婪,過度索求而無節制，不知足。[例]貪婪的人，很難有滿足的時候。
發抖,身體因寒冷、恐懼或憤怒而顫抖。[例]小弟不小心打破了父親心愛的古董花瓶，氣得父親渾身發抖。
心疼,憐惜、捨不得。[例]前些日子，爸爸珍藏的明代瓷瓶被弟弟打破，每次提到這件事，他老人家就感到十分心疼。
靈魂,1.人死後的鬼魂。[例]靈魂出竅
規定,1.制定準則。[例]依交通法規規定，年滿十八歲者才可以報考汽機車駕照。
違反,違背、不遵守。[例]小明違反校規，因此被記小過一次。
瀑布,從高處直瀉而下的水流，遠望似布匹垂落。如尼加拉大瀑布。[例]遠遠望去，瀑布好似一條白練懸掛在山崖前。
流瀉,流散、傾瀉。[例]她拉開窗簾，讓屋內流瀉著輕柔的月光。
吞噬,1.侵略兼併。[例]吞噬天下
籠罩,由四面八方加以覆蓋。[例]父親受傷至今仍昏迷不醒，使全家籠罩在一片愁雲慘霧之中。
火焰,燃燒時發出的光焰。[例]國慶煙火的火焰照亮整個淡水河的夜空。
大發雷霆,比喻發怒，大聲責罵。[例]爸爸為了妹妹逃學的事而大發雷霆。
俯衝,飛鳥或飛行物從空中迅速飛降。[例]老鷹自高崖俯衝而下，掠奪地面的獵物。
啄食,禽類動物用嘴取食。[例]小雞在泥地上啄食蚯蚓，填飽肚子。
穀物,穀類作物的通稱。[例]此地土質肥沃，最適宜穀物的栽種。
死亡,喪失生命。[例]親人的遽逝，讓她體會到死亡的巨痛。
傳授,將知識、技能教給他人。[例]好老師總是不惜將他所知道的一切傳授給學生們。
內臟,人或動物的體腔內的各種器官。如心、肺、胃、腸、肝、腎等。[例]隨著醫學常識的增進，國人越來越少吃動物的內臟。
頭暈目眩,頭腦昏沉，視覺模糊。[例]每日校對這些密密麻麻的文字，真令人頭暈目眩。
口乾舌燥,嘴巴因缺乏水分而覺得乾燥口渴。如：「任憑他說得口乾舌燥，大家依然充耳不聞。」也作「口燥脣乾」。
咀嚼,1.用牙齒咬碎與磨細食物。[例]細細咀嚼食物，有助於腸胃消化。
一命嗚呼,嗚呼，悲哀的感嘆詞。一命嗚呼指死亡。[例]他病情嚴重，沒多久就一命嗚呼了。
犧牲,1.古代祭祀用的牲畜。[例]古代祭祀時所用的犧牲，以牛、羊、豬為主。
檢驗,檢查測驗。[例]藥廠研發的新產品已通過藥品檢驗標準，近日即將上市。
藤蔓,藤本植物細而蔓延的莖，末端常捲曲如鬚。[例]那棟白屋子外面爬滿了藤蔓，綠意盎然。
保佑,保護庇佑。[例]感謝老天爺保佑，讓我逢凶化吉。
年級,學校中依據學生的修業年限和課程所分的學級。如國小有六個年級，國中有三個年級。[例]過了暑假，她就已經是高中三年級的學生了。
壓軸,戲劇的最後一齣稱大軸，大軸前一齣稱壓軸。比喻最精彩、最引人注目的節目或事件。[例]今晚的壓軸即將隆重登場，請大家拭目以待。　△壓軸戲
爭奪,爭相奪取，互不退讓。[例]與其費盡心思去爭奪名利，不如修養身心，精進德業。
委屈,1.壓制自己的意志，以遷就他人或環境。[例]為解決家裡的經濟危機，他只好委屈自己四處兼差。　△委曲
偏心,偏袒一方，對某一方存私心。[例]有教無類的老師對每位同學都是一視同仁，絲毫沒有偏心。
搬運,把東西搬動、運送到別處。[例]那個花瓶已經在搬運過程中摔壞了。
怨恨,埋怨忿恨。[例]心中充滿怨恨的人，只會讓自己活得不快樂。
抑制,壓抑控制。[例]他終究抑制不住心中的悲傷，眼淚奪眶而出。
拒絕,不接受、不答應。[例]為了維持健康，民眾拒絕食用添加色素、防腐劑的食品。
尷尬,1.不好意思、難為情。[例]說話不經思考就脫口而出，常會造成尷尬的場面。
後悔,事後懊悔當初的不該。[例]年輕的時候要充實自己，培養實力，不要等到老了才來後悔。
拱手讓人,輕易的把東西讓給別人。[例]這次比賽中華隊表現失常，冠軍寶座只好拱手讓人。
距離,1.時間或空間、有形或無形的間隔。[例]溝通可以拉近彼此間的距離。
默默,沉靜不說話。[例]默默不語、默默無言
鬥志,奮發進取的意志。[例]鬥志昂揚
扭曲,1.扭動物體使其形態改變。[例]為了扮鬼臉取悅小孩，他努力地扭曲自己的臉。
猛然,突然。[例]到了辦公室，他才猛然想起家裡瓦斯爐忘了關。
綢繆,1.親密、纏綿。[例]情意綢繆
掘井,挖井。[例]先民必得掘井才能汲水，現代則有了方便的自來水。
纏繞,圍繞束縛。[例]葡萄藤纏繞著竹架逐漸向上攀生。
束縛,拘束或限制。[例]小鹿掙開繩圈的束縛，迅速跑向叢林。
瓦缶,一種有蓋、腹大口小的陶器，用來盛裝酒或水，也可作為敲擊樂器。
珍饈,珍奇美味的食物。[例]珍饈佳餚
施惠,給予恩惠、德澤。[例]他施惠於人，從不求回報，在鄉里中贏得美名。
凡事,無論什麼事情。[例]她心思縝密，凡事都能替人設想周到。
預留,事先保留。[例]媽媽知道他今天會較晚回家，已先幫他預留飯菜。
樂極生悲,歡樂至極，往往轉生悲愁。[例]他中了一千萬的彩券，高興得逢人就說，結果樂極生悲，當天晚上彩券就被人給偷了。
揭示,揭露、公布。[例]他以親身經歷揭示、控訴極權暴政的血腥罪行。
卓越,非常優秀，超出常人。[例]他的公關才能卓越，頗受總經理重視。
培養,1.長期策劃和訓練。[例]培養人才、培養信心
總裁,某些政黨首領的名稱。銀行或財團亦設總裁。[例]總公司明年度將升他為臺灣地區的總裁。
瑣事,細小零碎的事情。[例]他原本月底要出國，因為瑣事纏身，所以改到下個月。
耕田,泛指耕種田地的一切活動。[例]雖然烈日當空，農夫仍然不辭辛苦的在田裡耕田。　◎
賺錢,1.賺取財利。[例]他們一家六口全靠他父親賺錢養家，生活非常清苦。
聰穎,非常聰明。[例]她既聰穎又用功，難怪成績如此出色。
惋惜,嘆惜、令人感覺可惜。[例]這麼聰明的人竟誤入歧途，不免令人惋惜。
欠缺,短少、不夠。[例]工廠因欠缺人手而刊登廣告招募員工。
驕傲自滿,自以為了不起而傲慢自大，感覺已經滿足。如：「我們絕不以目前小小的成就而驕傲自滿。」
昨天,前一日。[例]他昨天淋雨回來，今天就覺得身體不太舒服了。
耕耘,1.耕田與除草。泛指農田耕作的事情。[例]一番辛苦耕耘後，眼見麥浪層層，真令人高興。
茁壯,成長壯大。[例]今年暑訓班的大專青年，個個都身體茁壯。
鼎邊趖,一種臺灣小吃。先在大鍋中煮湯，待鍋邊燒熱後抹油，將在來米漿沿著鍋邊淋下，熟透後鏟入或自動脫落湯中，再加上蔥、薑、金針、香菇、魷魚等配料煮成。
颳風,起風、吹風。[例]若遇到颳風下雨，最好取消登山活動。
廚師,掌理廚房烹飪事務的師傅。[例]這家餐廳為了擴大營業，增聘了好多位廚師。
晒乾,將潮溼物品置於日光下曝晒，使水分蒸發至乾燥。如：「把衣服拿到頂樓陽臺去晒乾。」
包覆,包裹覆蓋。[例]這家店的雞排包覆著起司內餡，極為美味，難怪門庭若市。
竹筍,竹子地下莖所生的嫩芽。可供食用，亦可入藥，有消渴、利尿的療效。[例]竹筍可涼拌，也可煮湯或炒菜，是夏天常見的健康食品。　△竹萌
醃製,以醃漬方法所製成。[例]媽媽醃製的醬瓜非常好吃。
攪拌,攪動、拌合。[例]她用筷子把肉餡攪拌均勻，就開始包餃子了。
油炸,利用煮沸的油使食物熟透。[例]年糕裹上麵粉後油炸，就成為美味可口的點心。
晶瑩,明亮透澈。[例]他從母親晶瑩的淚光中感受到母愛的溫暖。
饗宴,招待賓客的宴席。《晉書．卷六．明帝紀》：「停饗宴之禮，懸而不樂。」
泡沫,聚在一堆的許多小氣泡。[例]肥皂水經攪拌後會產生許多泡沫。
下午茶,本指下午四點至五點時，所吃的茶點。為流行於西洋社會的正規活動。後比喻午後的社交活動或休息時間。[例]公司決定推動下午茶，以提振工作士氣。
退避三舍,舍，古代行軍時每三十里就停下來休息；三舍指九十里。退避三舍指為避免正面衝突或因害怕而主動讓步逃避，不與對方相抗。語出《左傳．僖公二十三年》。[例]那位老師因為面貌嚴肅，上課時又嚴厲，許多學生看見他都退避三舍，唯恐被他叫住訓話。
熬煮,用小火慢慢烹煮。[例]這高湯是用上等排骨熬煮而成的，因此味道特別鮮美。
砂糖,由蔗糖製成的顆粒狀糖。如紅砂糖、白砂糖。
混合,摻雜調和。[例]他把柳橙、鳳梨、胡蘿蔔、芭樂和蜂蜜、水混合，打成綜合果汁。
焦糖,蔗糖加熱至攝氏二百度所製成的棕色物質。應用於醬油、糖果、醋、啤酒等的著色。
判斷,判別斷定。[例]事情還未全面了解前，難以判斷是非曲直。
熱騰騰,形容很熱或冒著熱氣的樣子。[例]寒冷的冬季裡，喝一碗熱騰騰的湯，真是一大享受。
啜飲,喝、吸食。[例]在寧靜的夜裡，啜飲一口香茗，可以忘卻白天的一切煩憂。
流淌,流動。[例]每一次淚水流淌的經驗，都會是我們成長的養分。
豐沛,充足、充沛。[例]今年梅雨季帶來豐沛的雨量，解除了水庫缺水的危機。
歐洲,歐羅巴洲的簡稱。參見「歐羅巴洲」條。
標榜,1.表揚、稱讚。[例]自我標榜、互相標榜
烹茶,沏茶、泡茶。唐．李中〈獻中書韓舍人〉詩：「烹茶留野客，展畫看滄洲。」《紅樓夢》第七六回：「妙玉喚他起來，現去烹茶。」
樹薯,植物名。大戟科木薯屬，落葉灌木。原產巴西，分布於西、南非洲及亞洲南部各國。莖有髓，脆而易折，分枝為三叉。葉掌狀，三至七深裂。花為圓錐花序，黃或紅黃色。果實為球狀蒴果，具稜翅。其肉質地下塊根亦稱為「樹薯」。[例]樹薯可供食用或製粉，並為酒精及味精的主要原料。　△木薯
粉末,細末狀的固體顆粒。[例]幼兒吃的藥，多半會先把藥粒碾成粉末。
黏稠,濃稠有黏性的。[例]柏油燒熔之後變成黏稠的液體。
添加物,為了某種用途而增加進去的東西。[例]糖果及零食中常含有色素、香料等添加物，對人體沒有什麼好處。
呈現,出現、顯現。[例]一剎那間，在他滿是皺紋的臉上，呈現出一絲笑容。
習慣,1.逐漸適應。[例]她住在都市裡多年，早已習慣繁忙的生活步調。
舞蹈,一種藝術形式。為人體配合音樂或節奏所作的各種姿態，藉著有韻律的動作，表達內心的思想情感，並滿足人類的精神需求。[例]舞蹈是一種表現美感的藝術。
徜徉,安閒自在的四處走動。[例]他喜歡一個人無憂無慮的徜徉在青山綠水間。
仰光,城市名。位於伊洛瓦底江三角洲東側，距海約四十公里。以紡織品、肥皂、橡膠、鋁、食品、藥品和鋼鐵等工業著稱。米的輸出也很多。水運、公路和鐵路線連接國內各地。為緬甸最大和最重要的工商業城市。
緬甸,國名。位於亞洲東南部。參見「緬甸聯邦」條。
腳踝,小腿與腳掌間，腳骨兩旁凸起的部位。[例]他因車禍跌傷了腳踝，現在只能拄著枴杖走路。　△腿腕子　◎
呢絨,用獸毛或人造毛等製成的毛織品的統稱。[例]呢絨帽
下襬,上衣、長袍和裙子等的下緣部分。[例]騎車時要小心，千萬別讓下襬被捲到車輪裡。
恣意,放任而不加以約束。[例]詩人文士酒酣耳熱之際，往往恣意高歌，下筆千言。
批判,評論判斷。[例]他一向留心時事，經常批判社會的種種不合理現象。
行徑,行為、舉動。[例]他那鬼鬼祟祟的行徑，怎能叫人不起疑心？
謹記,1.恭謹牢記。[例]謹記教訓
恰恰,1.恰巧、剛好。[例]這個袋子恰恰可以裝進二十公斤的麵粉。
乏人問津,沒有人洽詢或探問。[例]這棟預售屋已經推出多時，但一直乏人問津。
放之四海而皆準,用到任何地方任何方面都可作為準則。語本《禮記．祭義》：「而橫乎四海，施諸後世而無朝夕，推而放諸東海而準，推而放諸西海而準，推而放諸南海而準，推而放諸北海而準。」
嗤之以鼻,從鼻子裡發出冷笑。表示不屑或鄙視。[例]他每每大言不慚，惹得眾人對他嗤之以鼻。
旨意,1.主旨目的。[例]由於未曾參與上次的御前會議，所以不了解聖上寫出來的文章旨意。
悠閒,閒適自得而無所牽掛。[例]爺爺悠閒地在公園裡散步。
寓言,以淺近假託的故事或自然物的擬人手法，表達某種哲理或隱含訓誨教育作用的文體。[例]《伊索寓言》
鷸蚌相爭,比喻兩相爭執必會造成兩敗俱傷，而讓第三者獲利的局面。典出《戰國策．燕策二》。[例]鷸蚌相爭，漁翁得利。
狡兔三窟,狡猾的兔子有三處藏身的洞穴。比喻人有多處藏身的地方或多種避禍的準備。語本《戰國策．齊策四》。[例]他可是狡兔三窟，想抓到他很不容易。
狡猾,詭變多詐。[例]他像狐狸般狡猾，你千萬不要上當！
招搖撞騙,假借某種名義到處炫耀，進行詐騙。[例]他到處招搖撞騙，最後終於被警察逮捕，移送法辦。
偽裝,假裝，改裝掩飾真正的面目或身分。[例]警方派出便衣人員偽裝成賭客，破獲此一大賭場。
誇大,言語超過原有的事實。[例]誇大不實
分辨,辨別。[例]這對雙胞胎長得實在太像了，很難分辨誰是誰。
謊言,不實在的話。[例]謊言遲早會被拆穿，何不現在就實話實說？
諷刺,以隱微的方式嘲諷譏刺。[例]這部電影旨在諷刺社會的病態。
警惕,對可能發生的情況，心生警覺而加以戒備。[例]學校播放反毒影片，以警惕同學勿受毒品誘惑。
蒙蔽,欺騙、隱瞞事實的真相。[例]記者報導新聞，不宜蒙蔽實情。
虛張聲勢,誇大聲威氣勢，用以嚇阻或欺騙他人。[例]他雖然膽小如鼠，但有時為了掩飾自己的怯懦，卻往往虛張聲勢，耀武揚威。
誘敵,引誘敵人。[例]為了解救同伴，他不惜現身誘敵。
司馬懿,人名。（西元179～251）字仲達，三國魏溫縣人。有雄才，多權變，文帝甚親重之，屢出師與蜀相諸葛亮相抗，使亮不能得志於中原，後以丞相執國政。其孫司馬炎終篡魏稱帝，建立晉朝，追尊為宣帝。
旗幟,1.旗有標幟的功用，所以泛稱旌旗為「旗幟」。[例]園遊會場上飄著許多畫有動物圖案的旗幟。
崗位,1.軍警執勤的處所。[例]為防止偷渡，海防部隊密置崗位派人守備。
百姓,泛指一般平民、國民。[例]只准州官放火，不准百姓點燈。
倘若,表示假設語氣的連接詞，即如果、假使。[例]倘若這件事不是你做的，為什麼見了我就跑？
書僮,舊時在富人家中侍候主人或其弟子讀書，兼做雜役的未成年僮僕。
撤退,放棄陣地或遷離已占領的地區。[例]將軍一見情勢失利，便馬上下令撤退。
諸葛亮,人名。（西元181～234）字孔明，三國蜀漢琅琊郡陽都人（今山東省沂水縣）。避亂荊州，劉備三訪其廬乃出。為人足智多謀，忠心耿耿。曾敗曹操於赤壁，佐定益州，使蜀與魏、吳成鼎足之勢。劉備歿，輔助後主劉禪，封武鄉侯。志在攻魏以復中原，乃東和孫權，南平孟獲，與魏長期爭戰，後鞠躬盡瘁，卒於軍中，諡號忠武。著有《諸葛武侯集》。
謹慎,仔細慎重。[例]公司決定派個謹慎的老手，負責這批產品品管的查驗工作。
丞相,古時輔佐天子處理國事的最高行政官員。多由一人擔任，有時亦由二人或多人共同掌政。秦漢以後設置，明洪武十三年後廢置。[例]唐太宗任用房玄齡、杜如晦來擔任丞相，因此締造了清明的政治。
耶誕節,西洋節日之一。為紀念耶穌基督降生的節日。耶穌誕辰，自古傳說不一，西元四世紀時，羅馬人始定十二月二十五日為耶穌誕辰，是歐美重要節慶之一。[例]耶誕節不僅是西方的重要節日，在臺灣也形成一股熱鬧的節慶氣氛。
郊外,環繞城市外面的地方。[例]每逢風和日麗的假日，我們一家人便到郊外踏青。
慈祥,慈善祥和。[例]祖母見到兒孫們，臉上總會露出慈祥的笑容。
劈啪,狀聲詞。形容燃燒時爆裂或撞擊拍打的聲音。[例]木柴在壁爐裡劈啪劈啪的燒著，室內逐漸溫暖起來。
零用錢,零碎花用的錢。[例]他習慣將每個月剩下的零用錢存在銀行。
厭倦,不再喜歡或提不起興趣。[例]小弟弟對這個玩具已經感到厭倦了。
辯護,1.法律上指辯護人為保護當事人的利益及權利，防禦不法或不當的指控，在口頭或文字上所做的辯白。[例]為了打贏這場官司，他請了一位名律師替他辯護。
自私自利,只圖自己的私利，而不顧及一切。[例]自私自利的人交不到真心朋友。
貧窮,缺少錢財，生活拮据困乏。[例]李老師對於家境貧窮的學生總是特別關心愛護。
關係,1.人事物間的關連情形。[例]親密關係、親子關係、主從關係
稍微,程度或分量上極少的。[例]只要稍微再下一點工夫，這件作品就會更完美。
暖烘烘,溫暖的樣子。元．陳德和〈落梅風．寒江釣叟〉曲：「他道縱如圖畫裡，則不如銷金帳暖烘烘地。」《儒林外史》第五三回：「陳木南身上暖烘烘，十分煩躁，起來脫去了一件衣服。」也作「暖溶溶」、「暖融融」。
衷心,出自內心。[例]我們衷心祝福她有個美滿的婚姻。
鋼琴,樂器名。屬鍵盤樂器。形狀像風琴，體積較大，內裝有許多鋼絲弦和包絨氈的木錘，手指按動鍵盤時，牽動鍵盤下的小木錘敲打鋼絲弦而發出聲音。十八世紀中葉以後廣泛流行。[例]她從小就學會彈鋼琴，有很深厚的音樂素養。　◎
恢復,1.回復到原來的樣子。[例]經過二年的重建，此地又恢復了震災前的繁華風貌。
活潑,生動而不呆板。[例]她個性活潑，交遊廣闊。
